fecha_hecho,prediccion_delitos,alcaldia_hecho,delito
2024-08-11,0.5,CUAJIMALPA DE MORELOS,HOMICIDIOS INTENCIONALES (OTROS)
2024-10-01,0.7374288406509344,TLALPAN,ROBO DE OBJETOS
2024-10-01,1.4896899846246239,IZTAPALAPA,ROBO DE OBJETOS
2024-09-30,1.1591473668605472,GUSTAVO A. MADERO,ROBO DE OBJETOS
2024-10-01,0.9137906090792223,BENITO JUAREZ,ROBO DE OBJETOS
2024-09-30,1.6266933176817648,COYOACAN,ROBO DE OBJETOS
2024-10-01,0.7939915672918652,MIGUEL HIDALGO,ROBO DE OBJETOS
2024-09-30,0.7230736948113853,AZCAPOTZALCO,ROBO DE OBJETOS
2024-10-01,0.7573434495782528,VENUSTIANO CARRANZA,ROBO DE OBJETOS
2024-10-01,0.8148342657443002,IZTACALCO,ROBO DE OBJETOS
2024-09-29,0.9261590330541382,ALVARO OBREGON,ROBO DE OBJETOS
2024-10-01,2.972439607070715,CUAUHTEMOC,ROBO DE OBJETOS
2024-09-28,0.7832934891802346,XOCHIMILCO,ROBO DE OBJETOS
2024-08-19,0.562530517578125,FUERA DE CDMX,ROBO DE OBJETOS
2024-09-23,0.6311036804964539,LA MAGDALENA CONTRERAS,ROBO DE OBJETOS
2024-09-27,1.062616080704646,TLAHUAC,ROBO DE OBJETOS
2024-09-28,0.5004885196849511,MILPA ALTA,ROBO DE OBJETOS
2024-09-29,0.6445590309966268,CUAJIMALPA DE MORELOS,ROBO DE OBJETOS
2024-09-21,0.5078895093247411,CDMX (INDETERMINADA),ROBO DE OBJETOS
2024-09-22,0.5001220777635367,TLALPAN,PERDIDA DE LA VIDA POR CAIDA
2024-09-23,0.5318756252981984,IZTAPALAPA,PERDIDA DE LA VIDA POR CAIDA
2024-09-15,0.5000076294238629,GUSTAVO A. MADERO,PERDIDA DE LA VIDA POR CAIDA
2024-08-24,0.625,BENITO JUAREZ,PERDIDA DE LA VIDA POR CAIDA
2024-09-17,0.5000000335421655,COYOACAN,PERDIDA DE LA VIDA POR CAIDA
2024-07-13,0.5235004425121588,MIGUEL HIDALGO,PERDIDA DE LA VIDA POR CAIDA
2024-09-08,0.5,AZCAPOTZALCO,PERDIDA DE LA VIDA POR CAIDA
2024-08-02,0.5000000000000568,VENUSTIANO CARRANZA,PERDIDA DE LA VIDA POR CAIDA
2024-08-05,0.5078125,IZTACALCO,PERDIDA DE LA VIDA POR CAIDA
2024-09-30,0.5000000023283242,ALVARO OBREGON,PERDIDA DE LA VIDA POR CAIDA
2024-09-16,0.500015502797396,CUAUHTEMOC,PERDIDA DE LA VIDA POR CAIDA
2024-09-11,0.5156559946481138,XOCHIMILCO,PERDIDA DE LA VIDA POR CAIDA
2024-09-26,0.5000000000582094,FUERA DE CDMX,PERDIDA DE LA VIDA POR CAIDA
2024-09-09,0.500152587890625,LA MAGDALENA CONTRERAS,PERDIDA DE LA VIDA POR CAIDA
2024-09-23,0.5,TLAHUAC,PERDIDA DE LA VIDA POR CAIDA
2024-09-14,0.5,MILPA ALTA,PERDIDA DE LA VIDA POR CAIDA
2024-08-06,0.5,CUAJIMALPA DE MORELOS,PERDIDA DE LA VIDA POR CAIDA
2024-09-15,0.500488817691803,TLALPAN,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-30,1.5394978738096508,IZTAPALAPA,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-10-01,0.5029529333333205,GUSTAVO A. MADERO,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-08,0.5000000037252921,BENITO JUAREZ,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-20,0.5312509611249112,COYOACAN,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-12,0.53125,MIGUEL HIDALGO,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-07-21,0.5000000000000002,AZCAPOTZALCO,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-23,0.5000000000291043,VENUSTIANO CARRANZA,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-04,0.500122189522259,IZTACALCO,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-08-25,1.5000040549787172,ALVARO OBREGON,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-16,1.0001230239868448,CUAUHTEMOC,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-08-05,0.5000000000036389,XOCHIMILCO,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-30,1.7004321164646454,FUERA DE CDMX,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-23,0.5,LA MAGDALENA CONTRERAS,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-23,0.5019683842547238,TLAHUAC,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-15,0.5,MILPA ALTA,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-01-20,0.5,CUAJIMALPA DE MORELOS,LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-18,1.3770295642415564,CDMX (INDETERMINADA),LESIONES INTENCIONALES POR ARMA DE FUEGO
2024-09-28,0.7500764131764299,TLALPAN,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-10-01,0.8769556358814226,IZTAPALAPA,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-30,0.533220329330281,GUSTAVO A. MADERO,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-10-01,0.7500000004656615,BENITO JUAREZ,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-27,0.5312500000001353,COYOACAN,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-28,0.5010986380516514,MIGUEL HIDALGO,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-29,0.5000000074505877,AZCAPOTZALCO,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-10-01,0.5781365792508986,VENUSTIANO CARRANZA,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-30,0.765625029860546,IZTACALCO,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-26,0.5313730314992995,ALVARO OBREGON,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-25,0.5652180064942327,CUAUHTEMOC,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-22,0.5000000019790889,XOCHIMILCO,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-08-25,0.5000000000000004,FUERA DE CDMX,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-21,0.5002441424876451,LA MAGDALENA CONTRERAS,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-23,0.6269531252328315,TLAHUAC,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-08-18,0.5,MILPA ALTA,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-09-03,0.5,CUAJIMALPA DE MORELOS,PERDIDA DE LA VIDA POR OTRAS CAUSAS
2024-05-25,0.5,TLALPAN,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2024-09-08,0.5,IZTAPALAPA,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2019-08-10,0.5,GUSTAVO A. MADERO,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2020-09-30,0.5,BENITO JUAREZ,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2017-11-06,0.5,COYOACAN,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2018-09-22,0.5,MIGUEL HIDALGO,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2018-06-06,0.5,AZCAPOTZALCO,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2020-12-11,0.5,VENUSTIANO CARRANZA,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2019-10-07,0.5,IZTACALCO,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2024-05-07,0.5,ALVARO OBREGON,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2021-01-05,0.5,CUAUHTEMOC,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2019-05-01,0.5,XOCHIMILCO,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2022-05-14,0.5,FUERA DE CDMX,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2017-11-14,0.5,LA MAGDALENA CONTRERAS,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2020-10-03,0.5,TLAHUAC,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2016-10-02,0.5078125,MILPA ALTA,HOMICIDIO CULPOSO POR ARMA DE FUEGO
2024-10-01,0.5393371608845605,TLALPAN,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-30,0.534260049753855,IZTAPALAPA,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-30,0.7812749338338572,GUSTAVO A. MADERO,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-16,1.5637302735708731,BENITO JUAREZ,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-22,0.6265467704293718,COYOACAN,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-17,0.760258689539584,MIGUEL HIDALGO,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-29,0.5625636279583308,AZCAPOTZALCO,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-28,0.5324717409759838,VENUSTIANO CARRANZA,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-25,0.5167236330455864,IZTACALCO,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-17,1.0041818628124197,ALVARO OBREGON,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
2024-09-26,0.5201698751307058,CUAUHTEMOC,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL
